Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_yesterday,price_change_percent
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-22,2026-07-28,6,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-22&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-21,2026-07-25,4,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-21&inboundDate=2026-07-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-07-14,2026-07-21,7,179,170,349,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-07-14&inboundDate=2026-07-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,452.57142857142856,-1.064942017989639,,0.0
Warszawa,Barcelona,Hiszpania,Warszawa,2026-05-30,2026-06-02,3,289,63,352,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-05-30&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,405.030303030303,-1.1613280219486009,352.84000000000003,-0.24
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-19,2026-05-26,7,182,170,352,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-19&inboundDate=2026-05-26&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-2.037755187807736,349.1,0.83
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-12,2026-05-19,7,139,221,360,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-12&inboundDate=2026-05-19&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.7800154012075478,,0.0
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-26,2026-06-02,7,219,144,363,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-26&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.6833629812324773,363.74,-0.2
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-28,2026-06-02,5,219,144,363,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-28&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.6833629812324773,363.74,-0.2
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-13,2026-06-16,3,188,182,370,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-13&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,475.7105263157895,-1.7099097024741834,371.74,-0.47
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-16,2026-05-20,4,164,212,376,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-16&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.264535828007172,377.53,-0.41
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-21,5,164,212,376,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,430.7567567567568,-2.859273948188539,377.53,-0.41
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-16,2026-05-21,5,164,212,376,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-16&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.264535828007172,377.53,-0.41
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-17,2026-05-20,3,165,212,377,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-17&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.25,-1.2323183546821483,383.18,-1.61
